Grouping,Stratified, Total Estimate, Total Margin of Error, With a disability Estimate, With a disability Margin of Error, Percent with a disability Estimate, Percent with a disability Margin of Error
Population,Total,"38,838,726","±2,943","4,146,951","±15,568",10.70%,±0.1
Sex,Male,"19,165,001","±3,697","1,982,180","±10,546",10.30%,±0.1
Sex,Female,"19,673,725","±2,607","2,164,771","±9,707",11.00%,±0.1
Race,White alone,"21,771,440","±34,378","2,567,336","±12,097",11.80%,±0.1
Race,Black or African American alone,"2,161,592","±7,793","319,304","±3,997",14.80%,±0.2
Race,American Indian and Alaska Native alone,"304,272","±6,413","47,965","±1,538",15.80%,±0.5
Race,Asian alone,"5,804,879","±11,763","475,546","±5,302",8.20%,±0.1
Race,Native Hawaiian and Other Pacific Islander alone,"147,005","±2,438","16,171",±978,11.00%,±0.6
Race,Some other race alone,"5,561,635","±33,652","444,740","±6,618",8.00%,±0.1
Race,Two or more races,"3,087,903","±30,626","275,889","±6,908",8.90%,±0.2
Race,"White alone, not Hispanic or Latino","14,166,137","±5,844","1,917,983","±10,301",13.50%,±0.1
Race,Hispanic or Latino (of any race),"15,212,871","±2,166","1,276,492","±10,391",8.40%,±0.1
Age,Under 5 years,"2,408,871",±728,"16,923","±1,260",0.70%,±0.1
Age,5 to 17 years,"6,534,036",±956,"289,883","±4,592",4.40%,±0.1
Age,18 to 34 years,"9,507,186","±3,166","499,087","±6,597",5.20%,±0.1
Age,35 to 64 years,"14,840,209","±2,670","1,445,493","±9,698",9.70%,±0.1
Age,65 to 74 years,"3,238,876","±1,415","742,749","±6,057",22.90%,±0.2
Age,75 years and over,"2,309,548","±1,469","1,152,816","±6,506",49.90%,±0.3
Hearing Difficulty,total,na,na,"1,147,500","±8,515",3.00%,±0.1
Hearing Difficulty,under 18 years,"8,942,907",±682,"46,136","±1,891",0.50%,±0.1
Hearing Difficulty,under 5 years,"2,408,871",±728,"12,264","±1,068",0.50%,±0.1
Hearing Difficulty,5 to 17 years,"6,534,036",±956,"33,872","±1,458",0.50%,±0.1
Hearing Difficulty,18 to 64 years,"24,347,395","±3,188","356,388","±4,768",1.50%,±0.1
Hearing Difficulty,18 to 34 years,"9,507,186","±3,166","65,660","±2,355",0.70%,±0.1
Hearing Difficulty,35 to 64 years,"14,840,209","±2,670","290,728","±4,429",2.00%,±0.1
Hearing Difficulty,65 years and over,"5,548,424","±1,329","744,976","±6,414",13.40%,±0.1
Hearing Difficulty,65 to 74 years,"3,238,876","±1,415","238,049","±3,284",7.30%,±0.1
Hearing Difficulty,75 years and over,"2,309,548","±1,469","506,927","±5,332",21.90%,±0.2
Vision Difficulty,total,na,na,"778,145","±8,055",2.00%,±0.1
Vision Difficulty,under 18 years,"8,942,907",±682,"60,848","±2,104",0.70%,±0.1
Vision Difficulty,under 5 years,"2,408,871",±728,"9,485",±995,0.40%,±0.1
Vision Difficulty,5 to 17 years,"6,534,036",±956,"51,363","±1,842",0.80%,±0.1
Vision Difficulty,18 to 64 years,"24,347,395","±3,188","374,002","±5,742",1.50%,±0.1
