STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,geoid_n
"06","001","442700","06001442700","4427",Census Tract 4427,G5020,S,"1234034","0","+37.5371514","-122.0081094",6001442699.99999904633
"06","001","442800","06001442800","4428",Census Tract 4428,G5020,S,"1278647","0","+37.5293619","-121.9931002",6001442800.00000000000
"06","037","204920","06037204920","2049.20",Census Tract 2049.20,G5020,S,"909972","0","+34.0175004","-118.1974975",6037204919.99999904633
"06","037","205110","06037205110","2051.10",Census Tract 2051.10,G5020,S,"286960","0","+34.0245059","-118.2142985",6037205109.99999904633
"06","037","205120","06037205120","2051.20",Census Tract 2051.20,G5020,S,"1466130","0","+34.0187546","-118.2117956",6037205120.00000000000
"06","037","206010","06037206010","2060.10",Census Tract 2060.10,G5020,S,"1418138","20551","+34.0682177","-118.2320356",6037206010.00000000000
"06","037","206020","06037206020","2060.20",Census Tract 2060.20,G5020,S,"843243","30290","+34.0571230","-118.2311021",6037206020.00000000000
"06","037","206050","06037206050","2060.50",Census Tract 2060.50,G5020,S,"1643426","94606","+34.0299036","-118.2244531",6037206049.99999904633
"06","037","207400","06037207400","2074",Census Tract 2074,G5020,S,"862957","6458","+34.0562223","-118.2466420",6037207400.00000000000
"06","001","442900","06001442900","4429",Census Tract 4429,G5020,S,"2066524","0","+37.5184093","-121.9748369",6001442900.00000000000
"06","037","192410","06037192410","1924.10",Census Tract 1924.10,G5020,S,"683899","0","+34.0798577","-118.3181008",6037192410.00000000000
"06","037","192510","06037192510","1925.10",Census Tract 1925.10,G5020,S,"340750","0","+34.0798690","-118.3068568",6037192510.00000000000
"06","037","192520","06037192520","1925.20",Census Tract 1925.20,G5020,S,"307802","0","+34.0799255","-118.3024972",6037192520.00000095367
"06","037","192610","06037192610","1926.10",Census Tract 1926.10,G5020,S,"415408","0","+34.0813650","-118.2961539",6037192609.99999904633
"06","037","192700","06037192700","1927",Census Tract 1927,G5020,S,"531205","0","+34.0800134","-118.2881064",6037192700.00000000000
"06","037","194500","06037194500","1945",Census Tract 1945,G5020,S,"685342","0","+34.0781753","-118.3695958",6037194500.00000000000
"06","037","195100","06037195100","1951",Census Tract 1951,G5020,S,"1566297","329063","+34.1022274","-118.2669741",6037195100.00000000000
"06","037","195300","06037195300","1953",Census Tract 1953,G5020,S,"580349","0","+34.0992506","-118.2836893",6037195300.00000000000
"06","001","443001","06001443001","4430.01",Census Tract 4430.01,G5020,S,"768730","0","+37.5184218","-121.9515237",6001443001.00000000000
"06","001","443002","06001443002","4430.02",Census Tract 4430.02,G5020,S,"1580323","0","+37.5168344","-121.9605916",6001443002.00000000000
"06","001","443102","06001443102","4431.02",Census Tract 4431.02,G5020,S,"2367416","0","+37.5072245","-121.9271486",6001443102.00000095367
"06","001","443301","06001443301","4433.01",Census Tract 4433.01,G5020,S,"1577682","0","+37.4707325","-121.9129556",6001443301.00000000000
"06","037","137501","06037137501","1375.01",Census Tract 1375.01,G5020,S,"2514410","0","+34.1649344","-118.5768036",6037137501.00000000000
"06","037","137502","06037137502","1375.02",Census Tract 1375.02,G5020,S,"2090222","0","+34.1634518","-118.5976927",6037137502.00000095367
"06","085","504311","06085504311","5043.11",Census Tract 5043.11,G5020,S,"2176511","0","+37.3775246","-121.8845878",6085504311.00000000000
"06","085","504314","06085504314","5043.14",Census Tract 5043.14,G5020,S,"1475199","0","+37.4018260","-121.8548247",6085504314.00000000000
"06","085","504315","06085504315","5043.15",Census Tract 5043.15,G5020,S,"1586748","0","+37.4093269","-121.8596884",6085504315.00000000000
"06","077","002000","06077002000","20",Census Tract 20,G5020,S,"2008597","0","+37.9549678","-121.2449406",6077002000.00000000000
"06","077","002100","06077002100","21",Census Tract 21,G5020,S,"3312527","0","+37.9376415","-121.2438699",6077002100.00000095367
"06","077","002300","06077002300","23",Census Tract 23,G5020,S,"2082728","0","+37.9292396","-121.2784070",6077002300.00000000000
"06","059","011711","06059011711","117.11",Census Tract 117.11,G5020,S,"1131330","0","+33.8856931","-117.8692764",6059011711.00000095367
"06","059","011712","06059011712","117.12",Census Tract 117.12,G5020,S,"1431776","0","+33.8766552","-117.8702302",6059011712.00000000000
"06","059","011715","06059011715","117.15",Census Tract 117.15,G5020,S,"2476274","0","+33.8823899","-117.8528754",6059011715.00000000000
"06","059","011716","06059011716","117.16",Census Tract 117.16,G5020,S,"1548521","0","+33.8721868","-117.8529250",6059011716.00000000000
"06","059","042114","06059042114","421.14",Census Tract 421.14,G5020,S,"3773683","0","+33.4194943","-117.5931457",6059042114.00000000000
"06","001","423400","06001423400","4234",Census Tract 4234,G5020,S,"755443","0","+37.8583735","-122.2758840",6001423400.00000000000
"06","059","042305","06059042305","423.05",Census Tract 423.05,G5020,S,"2392953","2168407","+33.4993764","-117.7425163",6059042304.99999904633
"06","059","042307","06059042307","423.07",Census Tract 423.07,G5020,S,"2473126","0","+33.5987654","-117.6918575",6059042307.00000000000
"06","059","063010","06059063010","630.10",Census Tract 630.10,G5020,S,"2702941","355288","+33.6281163","-117.8983938",6059063009.99999904633
"06","059","063101","06059063101","631.01",Census Tract 631.01,G5020,S,"1870066","88459","+33.6644113","-117.8831918",6059063101.00000000000
"06","059","063102","06059063102","631.02",Census Tract 631.02,G5020,S,"1512807","0","+33.6580976","-117.8936607",6059063102.00000000000
"06","071","004201","06071004201","42.01",Census Tract 42.01,G5020,S,"3087820","268850","+34.1272440","-117.3315656",6071004201.00000095367
"06","071","004202","06071004202","42.02",Census Tract 42.02,G5020,S,"1814584","0","+34.1259545","-117.3182081",6071004202.00000000000
"06","071","004401","06071004401","44.01",Census Tract 44.01,G5020,S,"1786132","0","+34.0941764","-117.3529084",6071004401.00000000000
"06","001","423500","06001423500","4235",Census Tract 4235,G5020,S,"635744","0","+37.8593612","-122.2680480",6001423499.99999904633
"06","001","423602","06001423602","4236.02",Census Tract 4236.02,G5020,S,"404545","0","+37.8631828","-122.2592684",6001423602.00000000000
"06","001","427600","06001427600","4276",Census Tract 4276,G5020,S,"582861","0","+37.7778323","-122.2835979",6001427600.00000000000
"06","059","063103","06059063103","631.03",Census Tract 631.03,G5020,S,"971192","0","+33.6441646","-117.8996392",6059063103.00000095367
"06","059","063201","06059063201","632.01",Census Tract 632.01,G5020,S,"1017662","0","+33.6508710","-117.9035762",6059063201.00000000000
"06","075","015700","06075015700","157",Census Tract 157,G5020,S,"836665","0","+37.7789158","-122.4480072",6075015700.00000000000
"06","075","015900","06075015900","159",Census Tract 159,G5020,S,"296387","0","+37.7833455","-122.4293406",6075015900.00000000000
"06","075","016000","06075016000","160",Census Tract 160,G5020,S,"157523","0","+37.7823391","-122.4224915",6075016000.00000000000
"06","075","016200","06075016200","162",Census Tract 162,G5020,S,"273255","0","+37.7771541","-122.4228807",6075016200.00000095367
"06","075","016300","06075016300","163",Census Tract 163,G5020,S,"245867","0","+37.7760456","-122.4295509",6075016300.00000000000
"06","075","016400","06075016400","164",Census Tract 164,G5020,S,"309099","0","+37.7750995","-122.4369730",6075016400.00000000000
"06","037","408137","06037408137","4081.37",Census Tract 4081.37,G5020,S,"830777","0","+34.0084495","-117.8838337",6037408137.00000000000
"06","075","016600","06075016600","166",Census Tract 166,G5020,S,"343168","0","+37.7704942","-122.4474539",6075016600.00000000000
"06","075","015500","06075015500","155",Census Tract 155,G5020,S,"311339","0","+37.7850943","-122.4341464",6075015499.99999904633
"06","075","015600","06075015600","156",Census Tract 156,G5020,S,"293930","0","+37.7782473","-122.4564269",6075015600.00000000000
"06","075","016700","06075016700","167",Census Tract 167,G5020,S,"490697","0","+37.7703481","-122.4377358",6075016700.00000000000
"06","001","433000","06001433000","4330",Census Tract 4330,G5020,S,"1323523","0","+37.7158642","-122.1354706",6001433000.00000000000
"06","001","433200","06001433200","4332",Census Tract 4332,G5020,S,"3174901","0","+37.7017500","-122.1470770",6001433200.00000000000
"06","001","433300","06001433300","4333",Census Tract 4333,G5020,S,"2455576","0","+37.6985801","-122.1574574",6001433300.00000000000
"06","001","433400","06001433400","4334",Census Tract 4334,G5020,S,"5474774","2188972","+37.6845277","-122.1689572",6001433399.99999904633
"06","001","433500","06001433500","4335",Census Tract 4335,G5020,S,"1234825","0","+37.6845009","-122.1553145",6001433500.00000000000
"06","001","433102","06001433102","4331.02",Census Tract 4331.02,G5020,S,"1433684","0","+37.7021567","-122.1335016",6001433102.00000000000
"06","077","002701","06077002701","27.01",Census Tract 27.01,G5020,S,"4137641","0","+37.9648258","-121.2359883",6077002701.00000000000
"06","077","002702","06077002702","27.02",Census Tract 27.02,G5020,S,"2556130","0","+37.9618697","-121.2192849",6077002702.00000000000
"06","077","003106","06077003106","31.06",Census Tract 31.06,G5020,S,"1645369","271038","+37.9995651","-121.3622008",6077003105.99999904633
"06","001","440307","06001440307","4403.07",Census Tract 4403.07,G5020,S,"1405895","0","+37.5911419","-122.0486870",6001440307.00000000000
"06","001","433800","06001433800","4338",Census Tract 4338,G5020,S,"1600708","0","+37.6988143","-122.1234820",6001433800.00000095367
"06","001","440308","06001440308","4403.08",Census Tract 4403.08,G5020,S,"1838209","0","+37.5893168","-122.0278170",6001440308.00000095367
"06","001","441200","06001441200","4412",Census Tract 4412,G5020,S,"3241561","11692","+37.5780625","-121.9910071",6001441200.00000000000
"06","001","441301","06001441301","4413.01",Census Tract 4413.01,G5020,S,"3293445","0","+37.5717252","-122.0026581",6001441301.00000095367
"06","001","441302","06001441302","4413.02",Census Tract 4413.02,G5020,S,"1994667","0","+37.5693426","-122.0194346",6001441302.00000000000
"06","077","003108","06077003108","31.08",Census Tract 31.08,G5020,S,"1354234","239075","+38.0093048","-121.3621535",6077003108.00000000000
